Week,Demand/Usage
1,170255.5199999997
2,287912.88
3,278257.67999999964
4,224013.60000000012
5,297613.43999999994
6,279346.31999999983
7,238496.40000000002
8,300160.07999999967
9,280875.59999999957
10,276093.35999999964
11,284860.7999999995
12,236183.04000000012
13,237441.69999999995
14,298825.1999999999
15,231996.96000000017
16,282061.43999999994
17,221160.3500000001
18,208649.52
19,325869.3199999996
20,341236.79999999993
21,202461.12000000026
22,211921.92000000004
23,211384.08000000002
24,268142.4
25,220566.23999999996
26,285858.72000000044
27,58669.92000000002
28,259919.28000000017
29,219438.72000000015
30,260191.44000000003
31,213483.60000000012
32,205565.04000000004
33,207094.32000000018
34,259148.16
35,194212.07999999987
36,200854.08000000005
37,254035.43999999997
38,235275.83999999994
39,206122.3199999999
40,270131.76
41,212699.52000000008
42,215181.35999999993
43,279547.1999999998
44,211753.44
45,274875.1199999994
46,219840.48000000007
47,199221.12000000005
48,203847.84000000008
49,210139.92000000007
50,220566.24000000022
51,226216.80000000005
52,187284.96000000017
