Week,Price
1,46.59628017857144
2,50.53563041666666
3,48.06397005952379
4,50.1688219047619
5,48.12505303571428
6,49.93127392857146
7,52.11801988095238
8,59.55266357142862
9,84.1682119642857
10,55.112444464285694
11,51.463319226190485
12,56.37449137724556
13,49.33546202380955
14,51.78322678571426
15,52.66374250000005
16,49.065566249999996
17,46.98021732142857
18,49.021871547619035
19,50.80939517857141
20,46.97044162037037
21,42.55726696428572
22,44.95022333333332
23,45.70597726190475
24,49.8373075595238
25,54.13089833333332
26,46.705288690476195
27,47.906276249999976
28,52.63601619047619
29,51.34201113095238
30,49.59220910714286
31,72.58276529761909
32,49.85586196428573
33,46.67448958333331
34,50.63093172619043
35,56.47355374999998
36,49.247588809523826
37,46.49331976190475
38,48.65611208333334
39,50.8334405952381
40,52.39773529761905
41,55.901125059523814
42,55.40763071428572
43,55.254879523809514
44,56.46277809523806
45,69.60270601190476
46,68.51009416666669
47,63.670914880952395
48,69.72989749999999
49,75.5213014880953
50,71.90468244047624
51,63.38817738095238
52,47.6806748809524
